"Titulo";"Publicacao"
"Modelos Garch assimétricos com inovações T-student";"2018-02-26"
"Luis Paulo Baravelli";"2018-02-27"
"Origens do misticismo na maçonaria";"2018-03-01"
"Toward global identity through cultural diversity";"2018-03-01"
"Indústria cultural e forrí eletrônico no Rio Grande do Norte";"2018-03-07"
"Francês para leigos";"2018-03-07"
"Deuses, monstros, heríis";"2018-03-09"
"Estudos brasileiros sobre o esporte";"2018-03-09"
"A indústria petrolâfera nacional e potiguar";"2018-03-10"
"A psicopatologia da vida cotidiana";"2018-03-11"
"Real estate finance and investments";"2018-03-12"
"Infinitude subjetiva e estética";"2018-03-12"
"Polâticas públicas para agricultura familiar";"2018-03-12"
"A cigarra e a formiga";"2018-03-13"
"Ceramic materials";"2018-03-13"
"Conservaçào genética da orquâdea Cattleya granulosa Lindley";"2018-03-14"
"A falta grave no direito do trabalho";"2018-03-14"
"Os melhores contos da América Latina";"2018-03-16"
"Metagenômica comparativa de solo de regiões de Mata Atlântica e caatinga do Estado do Rio";"2018-03-17"
"A Idade Média entre os séculos XIX e XX";"2018-03-18"
"A vida e as aventuras de Jesuâno Brilhante";"2018-03-19"
"Anhanguara";"2018-03-19"
"Irrigaçào, estrutura agrária e organizaçào dos agricultores";"2018-03-19"
"Descobrindo a estatâstica usando o SPSS";"2018-03-20"
"Teatro em tempo de sintese";"2018-03-20"
"CC++Mathematical algorithms in visual basic for scientists & engineers";"2018-03-20"
"Planificaciín y análisis de la calidad";"2018-03-21"
"A cultura-mundo";"2018-03-21"
"A ordem do sexual";"2018-03-22"
"Passeio ao farol";"2018-03-22"
"Bibliografia de e sobre Dix-Sept Rosado no Boletim Bibliográfico e na Coleçào Mossoroense";"2018-03-22"
"Psicanálise e marxismo";"2018-03-22"
"A universidade e a liberdade humana";"2018-03-24"
"Validaçào de conteúdo do instrumento para consulta de enfermagem na visita domiciliar à s";"2018-03-24"
"The international directory of logicians";"2018-03-25"
"Deixa que eu conto";"2018-03-25"
"Bis";"2018-03-25"
"Anais [do] Congresso de Engenharia Mecanica Norte-Nordeste";"2018-03-26"
"Conducting with feeling";"2018-03-27"
"Sançào na teoria do direito de Norberto Bobbio";"2018-03-27"
"Caracterâsticas fâsicas, somatotipo e desempenho de corredores de 100 e 400 metros no Rio";"2018-03-28"
"A psicologia no Paraná";"2018-03-29"
"Um novo amigo";"2018-03-31"
"A estrela sobe";"2018-03-31"
"Prêmio SEAE 2009";"2018-03-31"
"Economia de empresas";"2018-04-01"
"People and pixels";"2018-04-02"
"O enigma de Rama";"2018-04-03"
"Economia espacial";"2018-04-05"
"Catadores da cultura visual";"2018-04-06"
"Studies in the way of words";"2018-04-06"
"A hora dos assassinos";"2018-04-07"
"Humanidade e trânsito";"2018-04-07"
"Ensaios escoteiros";"2018-04-08"
"Deus me livre!";"2018-04-08"
"O lago dos cisnes";"2018-04-08"
"Anuario Rio Grande do Norte 2008";"2018-04-08"
"Histíria do Banco do Brasil";"2018-04-09"
"Práticas discursivas de regulamentaçào e liberdade no processo de desenvolvimento profissi";"2018-04-09"
"O que você deve saber sobre depressào.-";"2018-04-10"
"Visibilidade espetacular e relações de poder no Reality Show BBB-9";"2018-04-11"
"Exâlio";"2018-04-12"
"Uma abordagem dirigida por modelos para gerência de variabilidade e execuçào de processos";"2018-04-14"
"Panorama da previdência social brasileira";"2018-04-15"
"Introduçào aos estudos culturais";"2018-04-16"
"Gerenciamento do tempo em projetos";"2018-04-16"
"Eficácia do treinamento de força sobre parâmetros cardiovasculares e antropométricos em ad";"2018-04-17"
"Como fazer propostas e relatírios";"2018-04-17"
"Efeitos da adiçào de carga no treino de marcha na esteira em indivâduos com Doença de Park";"2018-04-17"
"[Anais do] VIII Encontro de Tratamento de Minérios e Hidrometalurgia";"2018-04-17"
"A primavera do dragào";"2018-04-18"
"L'homme de Descartes. -";"2018-04-19"
"Avaliaçào de efeitos biolígicos de antiinflamatírios derivados do ácido propiônico através";"2018-04-20"
"Redes de comunicaciín y estructuras de grupo";"2018-04-21"
"Eletrônica para leigos";"2018-04-23"
"Essence of decision:";"2018-04-23"
"Dicionário jurâdico universitário";"2018-04-23"
"Animal signals";"2018-04-24"
"Experienciando a ausência do companheiro nas consultas de pré-natal";"2018-04-24"
"Curso de semiítica geral";"2018-04-24"
"Tratado de medicina interna";"2018-04-25"
"Eleodoro à‰bano Pereira e a fundaçào de Curitiba à  luz de novos documentos";"2018-04-25"
"Tarzan no centro da Terra";"2018-04-28"
"Cavalo de Tríia na cidade de Deus";"2018-04-28"
"Desenvolvimento de Pupunha (Bactris gasipaes Kunth) cultivada para palmito em diferentes r";"2018-04-29"
"Os cuidados com o trator";"2018-04-29"
"The mathematical theory of communication";"2018-04-30"
"A grávida";"2018-04-30"
"O diário de um mago";"2018-04-30"
"Anais do XXII do Congresso Brasileiro de Ensino de Engenharia";"2018-05-01"
"Pré-histíria";"2018-05-02"
"Sociologia das organizações";"2018-05-02"
"Diario de um banana:";"2018-05-02"
"Plasticity for structural engineers";"2018-05-02"
"Handbook of microwave and optical components";"2018-05-03"
"Futebol";"2018-05-04"
"Cídigo civil2002";"2018-05-05"
"Do cabaré ao lar:";"2018-05-05"
"Atlantida, o oitavo continente";"2018-05-05"
"Natal também civiliza-se";"2018-05-06"
"O livro das religiões";"2018-05-06"
"A universidade temporà";"2018-05-07"
"Constituições brasileiras";"2018-05-08"
"Os deuses e Deus";"2018-05-08"
"Aplicaçào de fertilizantes via água de irrigaçào por injetor Venturi";"2018-05-08"
"iCon";"2018-05-08"
"Neurociência básica";"2018-05-09"
"Mining geostatistics";"2018-05-11"
"Os 7 falcões";"2018-05-12"
"Fisheries hydrography";"2018-05-12"
"Prática forense penal";"2018-05-12"
"Transient processes in electrical power systems";"2018-05-13"
"Adoçào do e-learning";"2018-05-14"
"Elementos de maquinas de Shigley";"2018-05-15"
"O teatro e a sua estética";"2018-05-16"
"Anais [do] eminário Internacional Tendências no Tratamento Simplificado de à?guas Residuár";"2018-05-17"
"Currâculo na contemporaneidade";"2018-05-18"
"Assessoria";"2018-05-18"
"Avaliaçào dos efeitos da reeducaçào postural global(RPG) em pacientes com espondilite anqu";"2018-05-19"
"Controladoria";"2018-05-19"
"Designers e artesàos";"2018-05-20"
"Delivering development";"2018-05-20"
"Dante L'antépurgatoire:";"2018-05-21"
"Molecular approaches to ecology and evolution";"2018-05-23"
"10 cases do design brasileiro";"2018-05-23"
"O bosque dos lilases";"2018-05-23"
"Rumos Brasil da Música";"2018-05-23"
"Ensaio sobre o rádio e o cinema";"2018-05-24"
"0 papel sício empreendedor da ONG Sodireitos em defesa dos direitos sexuais e migratírios";"2018-05-25"
"O mundo rural no Brasil do século 21";"2018-05-25"
"A sociedade de consumo";"2018-05-25"
"Histíria da escrita";"2018-05-27"
"Escuta, Zé Ninguém";"2018-05-27"
"Os domânios de natureza no Brasil";"2018-05-28"
"Violência e criminalidade no Estado do Rio de Janeiro";"2018-05-29"
"Evoluçào de ândices de tecnologia do complexo metalomecânico no Brasil";"2018-05-30"
"Pesquisa sobre o uso das tecnologias da informaçào e da comunicaçào no Brasil TIC domicâli";"2018-05-30"
"Autos-de-fé como espetáculos de massa";"2018-05-31"
"El Justiprecio en la expropiacion publica";"2018-05-31"
"Globalizaçào, estado e desenvolvimento";"2018-06-01"
"Dicionário de escritores norte-rio-grandenses";"2018-06-03"
"Anais [do] 8Âº Congresso Brasileiro de Engenharia Quâmica";"2018-06-03"
"Poluiçào do ar";"2018-06-04"
"Estudos de economia agrâcola";"2018-06-04"
"The 1982 assessment of the southern bluefin tuna (Thunnus maccoyii) population and the det";"2018-06-04"
"Anatomia para o cirurgiào dentista";"2018-06-05"
"Poder e dinheiro";"2018-06-05"
"The Cambridge history of eighteenth-century music";"2018-06-06"
"Umbanda";"2018-06-06"
"Mâdia controlada";"2018-06-08"
"Matemática fundamental para tecnologia";"2018-06-09"
"Fontes de informaçào especializada";"2018-06-10"
"Histíria da antropologia";"2018-06-11"
"Projetando, montando e personalizando o seu PC";"2018-06-12"
"Curso de Regimento Interno";"2018-06-12"
"O futuro do presente";"2018-06-12"
"Trabalho solidário";"2018-06-14"
"Quanto mais quente, melhor?";"2018-06-14"
"Histíria da educaçào fâsica e do esporte";"2018-06-14"
"Agronegício";"2018-06-14"
"Um dia, no circo";"2018-06-15"
"Agricultura familiar e estratégias de reproduçào socioeconômica das famâlias rurais de Sào";"2018-06-15"
"1Âº boletim [do] 18Âº Congresso Brasileiro de Engenharia Sanitaria e Ambiental";"2018-06-15"
"O princâpio da funçào social do contrato";"2018-06-17"
"Memírias d'O Tico-Tico";"2018-06-17"
"Oswaldo Cruz";"2018-06-17"
"Fundamentos do gerenciamento de projetos";"2018-06-18"
"Endodontia";"2018-06-19"
"Introduçào à  filosofia da mente";"2018-06-20"
"Linux kernel development";"2018-06-21"
"EMBRAPA gado de leite";"2018-06-22"
"O adolescente em conflito com a lei e a escola";"2018-06-22"
"El Nuevo institucionalismo";"2018-06-22"
"Pesquisa em ciências humanas e sociais";"2018-06-22"
"Por que direitos humanos";"2018-06-23"
"Boleto bancário em Delphi";"2018-06-23"
"Fundamentos gráficos para um design consciente";"2018-06-24"
"Com a palavra, os editores";"2018-06-26"
"Santos Dumont";"2018-06-27"
"Tempo de contar";"2018-06-28"
"Aparelho reprodutor";"2018-06-29"
"A vida imortal de Henrietta Lacks";"2018-06-30"
"P. Jerônimo Feijoo (antologia)";"2018-06-30"
"Farsa da boa preguiça";"2018-07-01"
"A revisào do tratado da Uniào Europeia";"2018-07-01"
"Stravinsky";"2018-07-03"
"ETENEFUNDECI";"2018-07-03"
"Dinâmicas intrametropolitanas e produçào do espaço na regiào metropolitana de Curitiba";"2018-07-04"
"Imagem também se lê";"2018-07-04"
"As identidades do Brasil 2";"2018-07-05"
"Professora-pesquisadora";"2018-07-06"
"Capital social e desenvolvimento rural";"2018-07-06"
"Conversando sobre psicossomática";"2018-07-08"
"Métodos numéricos para engenharia";"2018-07-08"
"Concorrência";"2018-07-08"
"Panorama regional do Brasil, 1969. -";"2018-07-08"
"Balâstica forense";"2018-07-09"
"Terras devolutas e sua proteçào juridica";"2018-07-09"
"O Tao de Warren Buffett";"2018-07-09"
"Práticas essenciais em artroscopia";"2018-07-11"
"Statistical methods for quality improvement";"2018-07-13"
"Clave de lua";"2018-07-14"
"Pesquisa em ciências sociais aplicadas";"2018-07-14"
"A guerra dos gibis";"2018-07-15"
"Aspectos do beneficiamento de ouro aluvionar";"2018-07-15"
"Terapia cognitivo-comportamental de alto rendimento para sessões breves";"2018-07-17"
"Segurança do trabalho & gestào ambiental";"2018-07-17"
"A questào da habitaçào";"2018-07-17"
"Circuitos elétricos";"2018-07-18"
"Sair curado para a vida e para o bem";"2018-07-18"
"The anthropology of time";"2018-07-18"
"Colíquio com um leitor kafkiano";"2018-07-18"
"Mais coisas que todo garoto deve saber";"2018-07-19"
"Pequena histíria de um grande amor";"2018-07-20"
"Caixa-preta";"2018-07-21"
"The human amygdala";"2018-07-24"
"Quarenta anos das relações Brasil-Angola";"2018-07-25"
"Educaçào musical a distância";"2018-07-25"
"Turismo religioso";"2018-07-25"
"Epidemiologia das helmintoses de bovinos de corte no planalto catarinense";"2018-07-28"
"Da aliança ao democratismo";"2018-07-28"
"Moacyr Scliar";"2018-07-28"
"Direito tributário";"2018-07-29"
"Aprendendo a observar";"2018-07-29"
"Trama e texto";"2018-07-29"
"Sociologia geral";"2018-07-30"
"Microbial ecology of the oceans";"2018-07-30"
"Mercados para a pesca em Aracaju. -";"2018-07-31"
"O segredo da sexualidade feminina";"2018-08-01"
"O sintoma na psicanálise e na psicopedagogia";"2018-08-01"
"O prisioneiro de Zenda";"2018-08-01"
"I Seminário sobre o Desenvolvimento da Cabotagem Brasileira, Brasâlia, 12 e 13 de Agosto d";"2018-08-02"
"Estado e politica em Marx";"2018-08-04"
"à?frica atual";"2018-08-05"
"Otter board design and performance";"2018-08-05"
"Pílen do divino";"2018-08-05"
"O psicílogo no hospital público";"2018-08-06"
"Guia de alergia para o otorrinolaringologista";"2018-08-06"
"Desafios contemporâneos e trabalho social";"2018-08-07"
"Quem sabe faz a hora de construir o projeto polâtico-pedagígico";"2018-08-08"
"Guerra na lângua";"2018-08-08"
"A tarefa de costurar sob a ítica da análise ergonômica do trabalho";"2018-08-09"
"Myth and music";"2018-08-09"
"Catálogo de pesquisa e prospecçào tecnolígica da UFMA";"2018-08-12"
"Presença de uma professora primária";"2018-08-14"
"Contabilidade básica";"2018-08-14"
"Revisitando a histíria do Rio Grande do Norte";"2018-08-15"
"American Institute of Physics Handbook";"2018-08-16"
"Mechanical behavior of materials";"2018-08-16"
"Tào longe, tào perto";"2018-08-16"
"Transformações da agricultura e polâticas públicas";"2018-08-17"
"Menéndez Pelayo";"2018-08-17"
"Soilless culture management";"2018-08-18"
"Philosophical analysis in the twentieth century";"2018-08-19"
"Taxas de retorno dos investimentos da EMBRAPA";"2018-08-20"
"Caracterizaçào de subpopulações de interneurônios imunorreativos para proteânas ligantes d";"2018-08-20"
"Fundamentos pedagígicos";"2018-08-21"
"Neurociência da mente e do comportamento";"2018-08-22"
"Fabricaçào de geléias";"2018-08-22"
"No tempo dos romanos";"2018-08-22"
"Retalhos do meu ser";"2018-08-23"
"Contabilidade avançada";"2018-08-23"
"The complete poems and plays";"2018-08-23"
"Administraçào de projetos";"2018-08-24"
"Algae";"2018-08-24"
"Verbo solto";"2018-08-25"
"The troglobitic halocyprid ostracoda of anchialine caves in Cuba";"2018-08-25"
"Vou-me embora pra Pasárgada";"2018-08-25"
"Um mapa da histíria sobre o mapa da ficçào";"2018-08-26"
"Eu senadoro um passeio!";"2018-08-27"
"Integraciín:";"2018-08-27"
"Metamorfose de um corpo andarilho:";"2018-08-27"
"Traité de philosophie";"2018-08-28"
"Movimento total";"2018-08-28"
"O Brasil imperial";"2018-08-30"
"SEAWATER";"2018-08-31"
"A psicologia dos psicílogos";"2018-09-02"
"A Inquisiçào contra as mulheres:";"2018-09-02"
"Relational approach of graph grammars";"2018-09-03"
"Curso de metodologia cientâfica";"2018-09-05"
"Situacào do estoque da sardinha (Sardinella brasiliensis) no litoral sudeste e sul do Bras";"2018-09-05"
"Conversa na catedral";"2018-09-06"
"Acordos e convenções internacionais em materia de imposto de renda. -";"2018-09-06"
"Theory of alternating-current machinery";"2018-09-07"
"A economia de ecossistemas e da biodiversidade no Brasil (TEEB - Brasil)";"2018-09-08"
"à‰loge de la folie";"2018-09-10"
"Codigo florestal.";"2018-09-11"
"Urbanizaçào e desastres naturais";"2018-09-11"
"Beijo na boca";"2018-09-11"
"Music matters";"2018-09-11"
"ABC da panificaçào & dicionário da panifica";"2018-09-12"
"Vade mécum RT";"2018-09-13"
"Aprendizados do projeto de manejo dos recursos naturais da várzea - ProVárzea";"2018-09-13"
"As bases do processo classificatírio em arquivâstica";"2018-09-15"
"International encyclopedia of ergonomics and human factors";"2018-09-15"
"Biopsiquiatria";"2018-09-16"
"La filosofia escolastica y el intelectual catolico";"2018-09-17"
"Influência da esplenectomia na biodistribuiçào do ácido dimercaptosuccânico-99m (99mTc-DMS";"2018-09-17"
"Pesquisas de conhecer. -";"2018-09-18"
"O jogo da parlenda";"2018-09-18"
"Genética clânica";"2018-09-19"
"Como passar na OAB";"2018-09-19"
"O caso da estranha fotografia";"2018-09-19"
"Análise dos marcos teíricos e estruturais do currâculo de graduaçào em Enfermagem no Rio G";"2018-09-20"
"1. de maio, cem anos de solidariedade e luta 1886-1986";"2018-09-23"
"Tecnologias de alimentos";"2018-09-24"
"How to show things with words";"2018-09-24"
"Semiárido piauiense";"2018-09-25"
"Desenvolvimento de um compísito de espuma râgida de poliuretana de mamona e fibras de sisa";"2018-09-25"
"Terapias congnitivas x espasticidad en avc";"2018-09-26"
"Inventário do corpo";"2018-09-26"
"Springer handbook of nanotechnology";"2018-09-26"
"Garryowen";"2018-09-26"
"Simple logic";"2018-09-26"
"Antropologia do prazer";"2018-09-27"
"Mu e Mi";"2018-09-27"
"Retratos de uma guerra";"2018-09-27"
"A divisào do Estado de Mato Grosso";"2018-09-28"
"Limnology";"2018-09-30"
"Planet@@ 3";"2018-09-30"
"Vocês, jovens- e a poesia";"2018-10-01"
"Nacional estrangeiro";"2018-10-02"
"Mario Cravo Jr";"2018-10-02"
"Entrevozes";"2018-10-03"
"Manual de cumprimento da sentença";"2018-10-03"
"O jeito de cada um";"2018-10-04"
"Projeto Doces Matas-Minas Gerais";"2018-10-05"
"O sol depois da chuva";"2018-10-05"
"Lendas e mitos do folclore brasileiro";"2018-10-08"
"Introduction to cryptography";"2018-10-08"
"Poemas reunidos";"2018-10-08"
"Vocabulário de termos técnicos";"2018-10-09"
"Projeto de aberturas em almas de vigas de aço e vigas mistas de aço e concreto.";"2018-10-11"
"Gravity";"2018-10-11"
"The catcher in the rye";"2018-10-11"
"Mamâferos";"2018-10-12"
"à?lcool e sociabilidade";"2018-10-12"
"Direito administrativo";"2018-10-13"
"Conselho nacional de justiça e a magistratura brasileira";"2018-10-13"
"Anales del XXI Congreso Interamericano de Ingenieria Sanitaria y Ambiental, Rio de Janeiro";"2018-10-13"
"Introduction to logic";"2018-10-14"
"FGTS";"2018-10-15"
"VI Southern Hemisphere Meeting on Mineral Technology, 27 de maio a 1 de junho de 2001, Pro";"2018-10-15"
"Minerals in thin section";"2018-10-16"
"Criaçào de novos negícios";"2018-10-17"
"O Canadá";"2018-10-17"
"Designing solutions-based ubiquitous and pervasive computing";"2018-10-18"
"Memíria e sociedade";"2018-10-19"
"ISO 14001";"2018-10-21"
"Relatírio e pareceres prévios sobre as contas do Governo da República";"2018-10-21"
"Investimentos estrangeiros no Brasil e o direito internacional";"2018-10-22"
"Qualidade do serviço em organizaçào do terceiro setor";"2018-10-22"
"Dialeto";"2018-10-23"
"Bouvard e Pecuchet";"2018-10-24"
"Ensaios sobre teoria do direito e filosofia";"2018-10-25"
"Manual de padronizaçao de textos";"2018-10-26"
"Freud";"2018-10-26"
"""O ritual simbílico do """"Ctrl+C"""" (Copiar) e """"Ctrl+V"""" (Colar) no ensino médio""";"2018-10-27"
"Sustainable construction";"2018-10-28"
"Elements of argumentation";"2018-10-29"
"Gestào do trabalho e da educaçào na saúde";"2018-10-29"
"Nos subúrbios do desejo";"2018-10-29"
"Comissào parlamentar de inquérito";"2018-10-30"
"Aquatic toxicology";"2018-10-31"
"O prâncipe das mares";"2018-10-31"
"Educando o paciente diabético";"2018-11-01"
"O palácio de inverno";"2018-11-01"
"Dicionário de administraçào";"2018-11-01"
"Conversas - 1948";"2018-11-01"
"Rheology essentials of cosmetic and food emulsions";"2018-11-01"
"A dieta de Beverly Hills";"2018-11-02"
"A teoria geral do emprego, do juro e da moeda";"2018-11-03"
"Dirigir sem medo";"2018-11-03"
"Tratado da deglutiçào e disfagia";"2018-11-03"
"A rapadura e o fusca";"2018-11-04"
"Saúde e saneamento no municâpio de Galinhos-RN";"2018-11-05"
"Geometria das dobraduras";"2018-11-05"
"Trabalhadores no Brasil";"2018-11-05"
"Eles nào usam black-tie";"2018-11-05"
"O pequeno x";"2018-11-06"
"Limnological analyses";"2018-11-06"
"O direito à  saúde e a polâtica nacional de atençào oncolígica";"2018-11-08"
"Lila";"2018-11-10"
"Doenças neuromusculares, parkinson e alzheimer";"2018-11-10"
"Validaçào de instrumentos para avaliaçào do conhecimento e da habilidade acerca da higieni";"2018-11-11"
"Modelagem e simulaçào de processos industriais e de sistemas eletromecânicos";"2018-11-12"
